user_id,full_name,role,department,access_level,is_on_shift
y_wood,Yara Wood,Physical Therapist,Rehabilitation,2,TRUE
z_barnes,Zane Barnes,IT Support,IT Support,4,TRUE
a_ross,Dr. Angela Ross,Geriatrician,Geriatrics,3,FALSE
b_henderson,Bruce Henderson,Security,Facilities,1,TRUE
c_coleman,Chloe Coleman,Nurse,Oncology,2,TRUE
d_jenkins,Dr. Daniel Jenkins,Hematologist,Hematology,3,FALSE
e_perry,Evelyn Perry,Social Worker,Admin,2,TRUE
f_powell,Felix Powell,Janitor,Facilities,1,TRUE
g_long,Dr. Georgia Long,Infectious Disease Specialist,Infectious Disease,3,FALSE
h_patterson,Harry Patterson,IT Admin,IT Support,4,TRUE
i_hughes,Ivy Hughes,Nurse,General Ward,2,TRUE
j_flores,Dr. Jack Flores,Toxicologist,Toxicology,3,FALSE
k_washington,Kim Washington,Receptionist,Admin,1,TRUE
l_butler,Dr. Leo Butler,Sports Medicine Physician,Orthopedics,3,TRUE
m_simmons,Mona Simmons,Nurse,Cardiology,2,FALSE
n_foster,Dr. Neil Foster,Sleep Medicine Specialist,Neurology,3,TRUE
o_gonzales,Oscar Gonzales,IT Support,IT Support,4,TRUE
p_bryant,Paige Bryant,Lab Technician,Pathology,2,FALSE
q_alexander,Quentin Alexander,Security,Facilities,1,TRUE
r_russell,Dr. Rebecca Russell,Pain Management Specialist,Anesthesiology,3,TRUE
s_griffin,Stella Griffin,Nurse,ICU,2,FALSE
t_diaz,Dr. Theodore Diaz,Emergency Medicine Physician,Emergency,3,TRUE
u_hayes,Uma Hayes,Pharmacist,Pharmacy,2,TRUE
v_myers,Vincent Myers,Janitor,Facilities,1,FALSE
w_ford,Willa Ford,Receptionist,Admin,1,TRUE
x_hamilton,Dr. Xavier Hamilton,Vascular Surgeon,Surgery,3,TRUE
y_graham,Yasmine Graham,Nurse,Emergency,2,FALSE
z_wallace,Zoe Wallace,Accountant,Finance,2,TRUE
